R0301|10001066|510050P1806A03200  |50ETF沽6月3142A     |510050|50ETF   |EBS|E|P|      10185|     3.1420|20171120|20180627|20180627|20180628|20180627|0|        1442|     0.4045|     0.4057|     2.7420|N|     0.6799|     0.1315|         7483.33| 12.00|  7.00|           1|           1|          30|           1|          10|     0.0001|0000E   |        
R0301|10001071|510050C1806A03300  |50ETF购6月3240A     |510050|50ETF   |EBS|E|C|      10185|     3.2400|20171123|20180627|20180627|20180628|20180627|0|       13874|     0.0184|     0.0184|     2.7420|N|     0.2428|     0.0001|         2142.31| 12.00|  7.00|           1|           1|          30|           1|          10|     0.0001|0000E   |        
R0301|10001072|510050P1806A03300  |50ETF沽6月3240A     |510050|50ETF   |EBS|E|P|      10185|     3.2400|20171123|20180627|20180627|20180628|20180627|0|        2016|     0.4934|     0.4980|     2.7420|N|     0.7722|     0.2238|         8423.40| 12.00|  7.00|           1|           1|          30|           1|          10|     0.0001|0000E   |        
R0301|10001115|510050C1806M02800  |50ETF购6月2800      |510050|50ETF   |EBS|E|C|      10000|     2.8000|20171128|20180627|20180627|20180628|20180627|1|       11448|     0.1017|     0.1015|     2.7420|N|     0.3699|     0.0001|         3725.40| 12.00|  7.00|           1|           1|          30|           1|          10|     0.0001|0000E   |        
R0301|10001116|510050C1806M02850  |50ETF购6月2850      |510050|50ETF   |EBS|E|C|      10000|     2.8500|20171128|20180627|20180627|20180628|20180627|1|        9427|     0.0823|     0.0823|     2.7420|N|     0.3457|     0.0001|         3033.40| 12.00|  7.00|           1|           1|          30|           1|          10|     0.0001|0000E   |        
R0301|10001117|510050C1806M02900  |50ETF购6月2900      |510050|50ETF   |EBS|E|C|      10000|     2.9000|20171128|20180627|20180627|20180628|20180627|1|       13522|     0.0671|     0.0671|     2.7420|N|     0.3255|     0.0001|         2590.40| 12.00|  7.00|           1|           1|          30|           1|          10|     0.0001|0000E   |        
R0301|10001118|510050C1806M02950  |50ETF购6月2950      |510050|50ETF   |EBS|E|C|      10000|     2.9500|20171128|20180627|20180627|20180628|20180627|1|        9166|     0.0540|     0.0540|     2.7420|N|     0.3074|     0.0001|         2459.40| 12.00|  7.00|           1|           1|          30|           1|          10|     0.0001|0000E   |        
R0301|10001119|510050C1806M03000  |50ETF购6月3000      |510050|50ETF   |EBS|E|C|      10000|     3.0000|20171128|20180627|20180627|20180628|20180627|1|       17705|     0.0431|     0.0431|     2.7420|N|     0.2915|     0.0001|         2350.40| 12.00|  7.00|           1|           1|          30|           1|          10|     0.0001|0000E   |        
R0301|10001120|510050P1806M02800  |50ETF沽6月2800      |510050|50ETF   |EBS|E|P|      10000|     2.8000|20171128|20180627|20180627|20180628|20180627|1|        5388|     0.1412|     0.1420|     2.7420|N|     0.4162|     0.0001|         4710.40| 12.00|  7.00|           1|           1|          30|           1|          10|     0.0001|0000E   |        
R0301|10001121|510050P1806M02850  |50ETF沽6月2850      |510050|50ETF   |EBS|E|P|      10000|     2.8500|20171128|20180627|20180627|20180628|20180627|1|        5738|     0.1715|     0.1715|     2.7420|N|     0.4457|     0.0001|         5005.40| 12.00|  7.00|           1|           1|          30|           1|          10|     0.0001|0000E   |        
R0301|10001122|510050P1806M02900  |50ETF沽6月2900      |510050|50ETF   |EBS|E|P|      10000|     2.9000|20171128|20180627|20180627|20180628|20180627|1|        5488|     0.2063|     0.2063|     2.7420|N|     0.4805|     0.0001|         5353.40| 12.00|  7.00|           1|           1|          30|           1|          10|     0.0001|0000E   |        
